Lebensmittelbezeichnung;Energie;Protein;Fett;Kohlenhydrate;Ballaststoffe
Debreziner Bohnengulasch (mit Schweinefleisch);97;10,52;4,8;2,3;1,1
Lamm Bries, gekocht;91;15,4;3,28;0;0
Stint gebraten ohne Fett (Pfanne);100;20,662;1,912;0;0
Weizenvollkornknäckebrot mit Müslizutaten, gesüßt;438;13,6;18,1;50;10,1
Weizenmischbrot mit Quark;224;7,79;0,85;43;6,36
Französische Schokoladentorte (Rührmasse);452;5,66;23,7;52,4;3
Früchtekuchen (ohne Fett zubereitet);380;7,4;12,3;56,4;5,5
Blätterteig eifrei, roh;425;4,18;32,19;28,65;2,12
Pralinen gefüllt mit Fruchtcreme;550;4,3;35,3;51,1;1,57
Wildente Fleisch, mit Haut, gebraten ohne Fett (Ofen);243;27;15;0;0
Hammel Keule, geschmort ohne Fett;309;26,719;22,5;0;0
Weizenvollkornbrötchen mit Kürbiskernen;297;11,7;5,66;45;9,56
Gerste ganzes Korn, gekocht;176;6,001;1,062;33,4;4,6
Vollkornbrot mit Sonnenblumenkernen;230;8,1;3,29;37;9,89
Milchmischgetränk 3,5 % Fett, aromatisiert, gesüßt, angereichert mit Vitaminen;78;3,38;3,33;8,5;0,002
Dinkelvollkornbrötchen mit Ölsamen;297;11,5;5,97;45;8,27
Hähnchenbrustfilet mit Cornflakes paniert, gebraten;191;23,14;8,13;6,13;0,38
Rumtopf;333;0,3;0,1;17,4;0,8
Erdbeersahneeis;241;2,9;20,88;9,83;0,4
Nearwater/Aqua Plus Getränk, aromatisiert, mit Zucker und Süßungsmitteln;14;0;0;3,6;0
Pute Flügel, mit Haut, tiefgefroren;192;20,2;12,3;0;0
Meeresfrüchtemischung roh;72;14,614;1,51;0;0
Bechamelsauce mit Milch 3,5 % Fett;119;4,21;8,01;7,24;0,22
Omelett gebraten mit Tomaten;142;6,2;11,81;2,13;0,7
Rindergulasch mit Gemüse;100;8;4;7;1,6
Kräuterquark (aus Magerquark);80;9,49;2,7;3,8;0,04
Weizenmischbrötchen;289;8,8;2,72;54;6,06
Westfälischer Pfefferpotthast mit Rindfleisch und Sauce;122;12,45;6,2;3,44;0,8
Fleischkäse fettreduziert;147;18,25;8,1;0,16;0,09
Brathähnchen gebraten im Ofen;230;22,69;15,44;0,017;0,059
Müslimischung Bircher Art (mit Trockenfrüchten und Nüssen) ungesüßt;366;11,8;11;49,4;10,4
Mais gekocht;88;2,284;0,95;16,583;2
Currybratwurst;215;10,92;19,01;0,04;0,02
Ganze Tomaten gedünstet, mit Sahne;83;1,215;6,643;3,68;1,3
Kalb Zunge, Kochpökelware;144;15,977;8,682;0,483;0
Krautgulasch (mit Rindfleisch);129;11,34;7,1;3,93;1,7
Dinkelbrot mit Nüssen;253;8,66;5,01;41;4,8
Raspeli;450;6,3;23,388;50,4;6,783
Englischer Kuchen (Sandmasse) mit Alkohol;424;5,8;22,2;48,3;2,5
Schwein Dünner Bug (ohne Fett und Schwarte) gebraten ohne Fett (Ofen);169;27,44;6,57;0;0
Stint gedünstet;77;15,536;1,619;0;0
Suppengrün/Suppenkraut, roh;33;2,154;0,335;3,4;3,4
Kirschenmichel gebacken;152;5;4,84;21,58;1,2
Schaf Kotelett, mariniert, roh;320;13,87;29,2;0,34;0,2
Weizenvollkornbrot mit Sonnenblumenkernen;236;9,3;3,37;38;7,73
Kalb Bug/Schulter, gekocht;119;27,257;1,082;0;0
Dinkeleierteigwaren roh;366;14,51;2,29;68,48;6,53
Aprikosensaft;49;0,7;0,104;10,8;0,154
Johannisbeertorte mit Baiser/Träublestorte (Mürbeteig);320;6,7;12,9;41,75;3,4
Käse-Weißbrot-Auflauf;260;15,3;14,01;17,34;1,31
Schokoladenbaiser;406;8,1;10,81;66,3;5,61
Makronenkuchen (Rührmasse);456;8,8;26,23;44,6;2,9
Hamburger Rauchfleisch (Rind Oberschale) Rohpökelware, geräuchert;118;19,495;4,231;0,492;0
Dicke Bohne unreif, tiefgefroren;70;6;0,7;6,6;6,4
Kekse/Plätzchen (Vollkornmürbeteig);522;7,13;29,77;53,1;6,45
Quicheboden (Mürbeteig);442;8,2;25,85;42,5;3,11
Getreideflakes gesüßt, mit Schokolade;376;8,1;5,8;69,3;7
Gemüsemischung asiatische Art, roh;30;2;0,3;3,6;2
Vollkornbrot glutenfrei;227;6,6;6;32;5,3
Hammelfleisch gedünstet mit Weißkraut (Irish Stew);155;6,36;9,8;9,45;1,8
Roggenmischbrot mit Kümmel;219;6,53;0,75;43;7,19
Schokoladen-Milchsuppe gebunden mit Grieß;87;3,9;3,4;10;0,13
Rehrücken gebacken (Sandmasse);479;9,35;30,58;39,3;4,7
Kalb Zunge, gekocht;174;19,012;10,875;0;0
Geflügelbockwurst mit Schweinefleisch;137;12,73;9,6;0;0,06
Rind Bratenfleisch (Bug) tiefgefroren;128;20,2;5,3;0;0
Petersilienblatt tiefgefroren;33;4,088;0,36;1,31;4,25
Croissant (Hefeblätterteig/Plunderteig);426;8;23,57;44;2,62
Weizenbrötchen mit Kürbiskernen;307;10,7;5,17;52;4,41
Rotweinkuchen (Rührmasse);429;7,92;28,01;34,2;3,4
Schmelzkäsezubereitung 45 - 52 % Fett i. Tr., mit Schinken;279;12,19;22,98;5,14;0
Zimtschnecken (Hefeteig);352;7,5;10,09;56,3;2,8
Pute Innereien, tiefgefroren;154;17,9;9,21;0;0
Gemüsemischung Leipziger Allerlei, tiefgefroren;57;3,2;0,398;8,2;3,6
Getreideflakes gesüßt, mit Nüssen;370;10,8;6,93;60,9;9,6
Grundsauce dunkel/braun (von Wildbrühe);76;1,14;5,4;5,53;0,42
Frankfurter Würstchen/Schinkenwürstchen;270;12,4;24,4;0,08;0,05
Stachelbeerkuchen (Rührmasse) mit Baiser;275;4,1;12,25;35,6;2,69
Maracujanektar/Passionsfruchtnektar;56;0,2;0,1;13,209;0,078
Friesenkekse (Mürbeteig);511;6,5;27,31;58,36;2,9
Quarkspeise mit Pfirsichen;113;5,8;4,92;10,88;0,4
Kartoffeln geschält, roh gebraten;222;2,88;12,753;22,601;2,81
Ratatouille;58;1,2;3,36;4,6;1,8
Weißkraut-Karotten-Eintopf mit weißen Bohnen und Hammelfleisch;131;7,159;7,916;6;3,1
Quarkstollen (Rührmasse);379;8,1;15,7;48,6;4,2
Paella;102;8,5;3,3;9;0,9
Kiwisaft;48;0,8;0,4;9,1;0,4
Quarkspeise mit Himbeeren;112;5,8;4,87;10;1,3
Quarkspeise mit Erdbeeren;111;5,75;4,88;10,26;0,5
Milchreis gesüßt, mit Milch 3,5 % Fett und Rosinen, aufgezogen, gebacken;140;4,1;4,3;20,8;0,6
Schneckennudeln/Rosenkuchen (Hefeteig);348;7,1;11,9;51;3,3
Hefeteig (feiner) gebacken;359;8,6;14,06;48;3,07
Bitterschokolade gefüllt mit Karamell;549;8,1;37,6;40;9
Bauernbratwurst/Westfälinger;281;19,24;22,58;0,15;0,08
Hefeteig (einfacher) gebacken;322;8,71;8,98;50;3,14
Edelkrebs/Flusskrebs, gesalzen;73;16,935;0,56;0;0
Gänsezervelatwurst mit Schweinefleisch;366;23,2;30,38;0;0
Käsefondue (mit Alkohol);252;16,9;19,01;0,12;0,075
Gugelhupf mit Rosinen (Hefeteig);382;8,8;16,8;47;3,4
Salami Ungarische Art;386;21,81;33,08;0,18;0,1
Katenrauchwurst;263;25,15;17,93;0,18;0,1
Chinakohl gekocht;20;2,025;0,225;1,56;2
Nuss-Spritzgebäck (Rührmasse);558;7,9;40,54;38,6;3,5
Streuselkuchen (Hefeteig);425;7,27;17,97;57;2,93
Kartoffel-Tomaten-Gratin mit Mozzarella;97;2,76;5,2;9,09;1
Batate/Süßkartoffel, gebacken;152;2,09;0,769;32,4;4,026
Weichkaramelle gefüllt;432;2,327;18,23;63;0,81
Früchtetee (Getränk) mit Zucker;7;0;0;1,861;0
Rind Filet/Lende, gebraten ohne Fett (Ofen);136;25,126;3,951;0;0
Glühwein;96;0,242;0;8,21;0,071
Grapefruit gezuckert;74;0,4;0,134;16,5;0,5
Rote Rübe/Rote Bete, gedünstet;43;2,023;0,098;7,08;2,5
Eier-Frischteigwaren, selbstgemacht, roh;283;11,07;5,76;44,97;3,31
Lammfleisch-Zervelatwurst;371;21,23;31,81;0;0,04
Rind Steak (Rücken) mariniert, roh;144;20,41;6,75;0,14;0,2
Schmelzkäsezubereitung 45 - 52 % Fett i. Tr., mit Nüssen;317;12,12;27,22;5,1;0,3
Grießbrei einfach, gesüßt;100;4,29;3,39;12,94;0,35
Batate/Süßkartoffel, gekocht;65;1,7;0,2;12,8;2,7
Rinderkraftbrühe mit Reis;26;0,92;0,2;5;0,2
Weizenfladenbrot;248;8,2;2,3;47;3,34
Kartoffelgulasch;75;1;3,2;10,1;0,9
Käseklößchen;371;17,37;26,4;15,32;1,22
Knoblauch gebacken;112;7,118;0,494;3;33,291
Porridge gesüßt, mit Wasser;81;2,613;1,308;13,5;2,16
Makrele gegrillt;188;23,7;10,36;0;0
Erdnuss geröstet, gesalzen;614;28,7;49,2;9,9;8,3
Schnittlauchquark (aus Sahnequark);132;8,84;9,18;2,94;0
Frankfurter Würstchen/Schinkenwürstchen, Konserve;226;12,5;19,5;0,08;0,05
Weizenvollkornbrötchen mit Sonnenblumenkernen;300;11,2;5,75;46;9,42
Schwein Zunge, Kochpökelware;202;20,88;12,87;0,618;0
Englische Muffins/Toasties (Hefeteig) gebraten ohne Fett (Pfanne);371;10,55;8,47;61;4,15
Teewurst fettreduziert;200;21,63;12,56;0,1;0,06
Vollkornbrötchen mit Ölsamen;294;10,7;5,54;45;10,59
Lachs tiefgefroren;180;19,9;11,2;0;0
Gemüsepaprika grün, geschmort ohne Fett;42;1,175;0,261;7,56;2,2
Haferschleim;20;0,768;0,386;3,1;0,638
Heidesand (Mürbeteig);521;5,28;25,88;65,4;2,45
Mischpilze roh;34;3,5;0,3;2,16;5,1
Weizenmischbrot mit Kürbiskernen;238;8,42;3,06;41;6,5
Ente Fleisch, ohne Haut, gegrillt;153;25,9;5,5;0;0
Schokozwieback;466;9,1;20,2;58;7,84
Wachtel Fleisch, ohne Haut, tiefgefroren;128;21,8;4,53;0;0
Asia-Dressing;236;1,84;22,05;4,9;0,4
Broccoli gebraten ohne Fett (Pfanne);71;7,244;1,1934;4,6;6
Laugengebäck mit Sesam;276;8,9;3,61;50;3,58
Geflügelfleischkäse mit Schweinefleisch;193;16,86;13,9;0,11;0,06
Seezunge gedünstet;78;15,625;1,77;0;0
Weizenvollkornbrot mit Buttermilch;222;8,7;1,19;40;7,79
Käsewindbeutel salzig (Brandmasse) ungefüllt;245;12,3;14,16;16,5;1,01
Kohlrabi gekocht;28;1,898;0,157;3,8;1,5
Heidelbeer-Muffins (Rührmasse);336;5,7;14,23;44,3;3,1
Konfitüre extra;234;0,4;0,2;56,3;1,1
Schwein Brustspitze, gebraten ohne Fett (Ofen);228;25,24;14,13;0;0
Sauerteigbrot mit Ölsamen, glutenfrei;229;7,9;7,3;30,6;4,6
Zartbitter-/Halbbitterschokolade, gefüllt mit Kokoscreme;564;5,51;37,37;48,1;6,43
Kaffeeeis;171;4,4;9,2;17,6;0,1
Eiswaffeln/Waffelhörnchen (Rührmasse);295;5,44;13,02;37,9;2,1
Wildschwein Fleisch, geschmort ohne Fett;204;26,848;10,783;0;0
Schwein Kochfleisch (Bauch) gekocht;357;22,49;29,64;0;0
Apfel-Streuselkuchen (Mürbeteig);309;4,19;16,13;35,14;3,42
Rosinenbrötchen (Hefeteig);338;8,3;9;53,8;3,7
Orangennektar mit Süßungsmitteln;20;0,375;0;4,251;0,155
Böhmische Knödel roh;235;8,31;8,96;29,19;2
Studentenfutter;485;12,3;32,2;32,3;6,2
Roggenvollkornbrötchen;256;7,56;2,86;43;13,76
Buttergebäck (Mürbeteig);496;6,82;26,15;57;2,62
Apfelkraut;231;0,9;1;52,1;5,2
Tortenguss klar (zubereitet mit Wasser und Zucker) für Gebäck/Torten;48;0,015;0,003;12,057;0,033
Reiswaffeln schokoliert;475;7,13;21,37;61;5,01
Pflanzenfett/Frittierfett, pflanzlich;900;0;100;0;0
Vollmilchschokolade gefüllt mit Karamell;533;4,57;30,37;57,3;1,76
Kokosflocken (aus Fondant);461;1,922;16,952;68,5;3,848
Kalb Hals/Nacken/Kamm, tiefgefroren;109;21,2;2,66;0;0
Lammfleischspieße mit Gemüse, gegrillt;161;12,4;11,3;1,7;1
Tintenfische mehliert, gebraten;96;16,23;2,2;2,25;0,25
Weizenbrötchen mit Mohn;298;9,6;3,3;55;4,46
Kuchenboden/Tortenboden, kakaohaltig (Mürbeteig, einfacher);428;8,61;18,28;55,5;3,44
Apfelkuchen gedeckt (Mürbeteig);219;3,7;9,9;27,4;2,7
Pute Flügel, mit Haut, gegrillt;294;31,1;18,9;0;0
Barbecuesauce/Grillsauce;112;1,15;7,27;9,24;1,4
Käsealternative, Basis Cashewkerne, vegan;440;14,97;33,559;18,5;2,1
Vollkornbrötchen mit Kürbiskernen;296;11,2;5,59;45;10,37
Salatcreme (Fertigprodukt);300;1,4;27,018;11,92;0,046
Roggenvollkornknäckebrot mit Kürbiskernen;370;13,77;9,15;49,3;17,88
Rotkohl geschmort ohne Fett;50;2,763;0,318;6,664;4,5
Fleischkäse gebraten;314;14,34;28,02;0,62;0
Roggenbrot mit Sonnenblumenkernen;223;6,59;3,04;38;8,78
Tangerinensaft;42;0,9;0,24;8,08;0,112
Dinkelvollkornknäckebrot mit Ölsamen;429;16,4;18,2;45;9,48
Cornflakes gesüßt, mit Zuckerglasur und Erdnüssen, angereichert mit Vitaminen und Mineralstoffen;396;6,2;3,9;82,5;3
Roggenvollkornbrötchen mit Nüssen;275;7,87;6,36;40;13,1
Göttinger Schinkenwurst;375;21,78;31,89;0,18;0,1
Vanilleflammeri/Vanillepudding, mit Eigelb;143;4,6;5,26;19,16;0,073
Cookies mit Schokoladenstückchen;488;6,48;22,18;64;2,98
Roggenbrot mit Kürbiskernen;225;7,04;2,98;38;8,92
Kolbacz;453;20,04;41,37;0;0,08
Weizenvollkornbrot mit Ölsamen;235;9,3;3,25;38;8,03
Aufschnitt-Grundbrät;218;14,16;17,86;0,09;0,05
Schmierwurst fettreich;327;18,28;28,15;0,12;0,07
Schafskopf (Meerbrasse) gedünstet;93;18;2,3;0;0
Rhabarberkaltschale gebunden mit Grieß;48;0,55;0,09;9,87;1,81
Vollkornplunderteig roh;352;6,88;21,57;30;5,13
Schwein Brät, roh;268;12,49;24,13;0,09;0,05
Meerrettichsoße Konserve;132;4,02;7,8;9,97;2,3
Roggenbrot mit Ölsamen;223;6,6;2,92;38;9,09
Pralinen gefüllt mit Vanillecreme;560;5,4;36,08;52,5;1,7
Dinkelbrot;221;8,4;2,39;38;6,76
Hefeteig für Pizza/Pizzateig, roh;244;6,2;6,81;38;3
Getränkepulver malzhaltig, angereichert mit Vitaminen und Mineralstoffen;363;9,817;1,8;74,9;3,859
Schokoladen-Mandel-Cookies vegan;527;9,44;33,2;44,1;6,9
Rote Grütze ungesüßt;57;0,9;0,3;10,6;2,9
Dinkelvollkornbrötchen mit Sonnenblumenkernen;297;11,5;6,11;45;7,91
Schokoladentorte (Rührmasse);432;7,97;22,59;47,5;3,3
Schwein Kamm, gegrillt;217;24,27;13,34;0;0
Pampelmusensaft/Pomelosaft;35;0,8;0,3;6,22;0,2
Wildlachs tiefgefroren;180;19,9;11,2;0;0
Wasserbiskuitboden;306;8,5;3,69;58,7;1,8
Wels gedünstet;117;13,5;7;0;0
Buttermilchsuppe gesüßt;69;3,08;1,67;9,88;0,016
Weizenbaguettebrötchen;289;9,6;1,51;57;4,25
Karotten/Möhren, gedünstet (mit Fett und Salz);66;0,73;4,2;5,04;2
Bulgur (Hartweizen) gekocht;152;5,5;0,9;29,1;3
Kichererbsen gekocht (mit Fett und Salz);128;6;4,6;13,1;5,1
Joghurteis;124;3,9;2,5;21,01;0
Schellfisch gebraten ohne Fett (Pfanne);87;20,3;0,65;0;0
Milchbrötchen (Hefeteig);337;8,9;11,54;48;2,96
Fruchtmischung ungesüßt, roh;62;0,751;0,4;12,3;2,1
Ananas-Joghurtsahne für Gebäck/Torten;160;2,6;10,1;14,2;0,37
Quarkspeise mit Sauerkirschen;119;6,05;5,1;11,66;0,24
Croissant (Hefeblätterteig/Plunderteig) gefüllt mit Nuss-Nougat-Creme;465;8;26,04;48;2,92
Roggenvollkornbrötchen mit Ölsamen;267;8,44;5,17;40;13,43
Zucchini gedünstet (mit Fett und Salz);70;1,6;4,9;4;1,5
Paprika gedünstet (mit Fett und Salz);56;0,96;2,8;5,53;1,9
Schwertfisch-Rouladen gebraten;173;22,84;8,49;1;0,32
Lammfilet gebraten;274;25,6;19,1;0;0
Trüffel gedünstet;103;11,673;0,718;0,8;23,296
Sirupkuchen;337;6,4;6;63,2;2,5
Honigkuchenhäufchen;375;5,9;7,4;69,2;3,4
Kidneybohne reif, gekocht;129;8,6;1;15,2;11,1
Milchschokolade gefüllt mit Fruchtcreme;554;3,8;34;57,3;1,6
Kaviarcreme/Kaviarpaste;412;8,6;36,2;12,72;0,39
Rinderfiletsteak gebraten;180;25,92;8,46;0,02;0,01
Karamellbonbon zuckerfrei;275;0,224;8,279;83;0
Blätterteig (mit Butter) roh;465;5,2;35,67;29,75;2,18
Apfel-Streuselkuchen (Rührmasse);219;3,1;9,09;30;2,34
Pfefferschote rot, gedünstet;44;2,03;0,48;6,73;1,6
Roggenbrötchen mit Kürbiskernen;282;9,58;5,21;45;8,62
Vollmilchschokolade gefüllt mit Frucht-Vanillecreme;560;5,4;36,08;52,5;1,7
Weinbrand-Bohnen;472;3,57;21,32;54,7;5,01
Rindersteak gebraten (mit Fett und Salz);183;29,14;7,37;0,02;0,01
Pute Flügel, mit Haut, gebraten ohne Fett (Pfanne);264;27,5;17,1;0;0
Laugengebäck mit Käse;279;9,2;3,4;51;3,51
Blattspinat gedünstet (mit Fett und Salz);70;2,401;5,759;1,08;2,1
Sprühsahne/Schlagsahne, gesüßt, mind. 30 % Fett;309;2,4;30;7,2;0
Fruchtsoße gezuckert, Konserve;177;0,5;0,3;41,7;1,5
Kirsche kandiert (Belegkirsche);214;0,513;0,177;48,2;1,1
Zwiebeln gebraten;66;1,72;1,808;9,42;2,2
Roggenmischbrot mit Kürbiskernen;238;7,98;3,05;41;7,3
Knäckebrot glutenfrei, laktosefrei;382;8,8;6,1;71;3,9
Schokokekse glutenfrei;483;5,21;22,87;62,4;3,5
Sandmasse/Sandteig, roh;407;4,94;22,85;44,9;0,78
Gurke gedünstet;18;1,154;0,217;2,14;1
Mais gekocht (mit Fett und Salz);101;2,21;2,686;16,044;2
Haferflockenplätzchen;448;8,67;21,87;51,8;4,75
Gemüse-Eintopf/Gemüsepichelsteiner;61;1,67;2,1;8;1,9
Pfannkuchen/Eierkuchen, ungesüßt, mit Milch 3,5 % Fett, gebraten;267;8,34;12,12;30,1;2,04
Bitterschokolade mit Trüffelfüllung;547;7,12;37,77;40;8,44
Vollmilchschokoladen-Riegel gefüllt mit Joghurt-Erdbeercreme;565;4,6;35,65;55,5;1,8
Zitronenkekse glutenfrei;445;4,427;19,603;60,41;4,578
Cornflakes gesüßt, mit Zuckerglasur und Erdnüssen;396;6,2;3,9;82,5;3
Rehrücken (Wiener Boden hell);493;9,76;32,26;38,5;4,8
Tintenfisch geschmort ohne Fett;71;15,094;1,22;0;0
Forelle gebraten ohne Fett (Ofen);197;28,047;9,2;0;0
Weinkraut mit Apfel gedünstet;72;1,03;4,26;5,2;2,3
Roggenmischbrot mit Buttermilch;221;6,85;0,81;43;7,19
Pfitzauf/Kuchenmichel, gebacken;242;8,21;9,47;30,07;1,73
Vollkornbrötchen;282;9,9;3,18;48;10,67
Rotkappe gedünstet;48;3,061;1,099;4,6;6,648
Fasan Fleisch, mit Haut, tiefgefroren;154;23,75;6,55;0;0
Geflügel Frikadelle, roh;105;14,8;3,2;4;0,5
Schwemmklößchen, Suppeneinlage;164;6,84;6,88;18,03;1,26
Dinkelvollkornbrötchen mit Kürbiskernen;299;12;6,02;45;8,05
Weizentoastbrot mit Roggen;263;8,38;3,35;48;3,65
Laugengebäck mit Kürbiskernen;277;9,1;3,56;50;3,55
Roggenmischbrot mit Sonnenblumenkernen;236;7,52;3,11;41;7,16
Porridge gesüßt, mit Milch 3,5 % Fett;141;6,1;4,74;17,4;2,16
Steinpilz getrocknet;270;31,479;2,332;19,06;35,093
Toastbrot glutenfrei;221;1,643;4,023;44;1,194
Hammelfilet gebraten;274;25,64;19,051;0;0
Polenta (Maisgrieß mit Wasser, Fett und Salz) gekocht;114;1,705;6;12,37;1,854
Blumenkohl tiefgefroren;33;1,3;0,311;5,62;3,2
Sauerteigbrot glutenfrei;180;5,2;1,6;34,4;3,4
Mokkasahne für Gebäck/Torten;296;3,5;25,6;12,7;0,269
Vanille-Milchsuppe gebunden mit Grieß;85;3,72;3,34;10;0,13
Himbeerkompott zuckerreduziert;56;0,9;0,259;9;4,1
Zuckererbse gekocht;40;3,3;0,4;5;1,6
Sahnejoghurt mind. 10 % Fett, mit Vanillezubereitung, gesüßt;140;2,7;8,305;12,9;0,01
Dinkelbrötchen mit Ölsamen;304;11,3;5,3;50;5,36
Schwein Kamm, mariniert, gegrillt;262;22,87;18,76;0,16;0,2
Kürbis-Mandel-Kuchen (Biskuitmasse);276;9,25;13,61;27;4,1
Rind Filet/Lende, tiefgefroren;121;21,2;4;0;0
Porridge gesüßt, mit Milch 3,5 % Fett und Kakaopulver;142;6,16;4,76;17,4;2,143
Italian Dressing;547;0,075;59,4;0,5;0,351
Baby-Pute Fleisch, mit Haut, gebraten ohne Fett (Pfanne);207;30,489;9,431;0;0
Cappuccino (Getränk) aus gesüßtem Instantpulver;31;0,795;0,838;4,65;0,138
Vollkornbrötchen mit Nüssen;302;10,1;6,77;45;10,2
Kalbsschnitzel mehliert, gebraten;129;23,94;2,3;2,5;0,31
Grapefruitsaftschorle;18;0,265;0,05;3,653;0,155
Kirschtorte (Mürbeteig und Rührmasse);356;6,02;17,81;41,9;2,2
Heilbuttfilet pochiert (ohne Sauce);136;20,079;6,21;0;0
Knollensellerie gebacken;35;1,824;0,388;3,26;4,9
Backteig ungesüßt, mit Bier, roh;204;7,2;6,35;26,52;1,95
Meerrettich gekocht;79;5,566;0,284;11,055;4,197
Speisequarkzubereitung mind. 20 % Fett i. Tr., mit Kräutern;94;10,09;4,08;3,55;0,1
Quarkspeise einfach, mit Erdbeeren;82;6,23;1,24;10,63;0,4
Käsealternative, Basis Pflanzenfett, vegan, angereichert mit Vitamin B12 und Calcium;293;0,156;23,043;21,168;0,252
Vollkornbrot mit Buttermilch;212;7,47;1,06;38;10,04
Eier-Frischteigwaren roh;297;12,05;3,8;51,8;3,56
Maiskekse glutenfrei;445;4,38;19,395;60,945;4,529
Thunfisch in Tomatensauce, Konserve;126;11,9;5,6;6,6;0,6
Hirsch Fleisch, gebraten ohne Fett (Ofen);150;28,779;3,929;0;0
Rote Grütze gezuckert, Konserve;111;0,6;0,2;25,4;1,6
Rinderkraftbrühe mit Tapioka (Sago);11;0,4;0,2;1,897;0,018
Roggenvollkornbrötchen mit Kürbiskernen;269;8,92;5,22;40;13,2
Dinkelvollkornbrötchen mit Nüssen;305;10,9;7,21;45;7,9
Milchschokolade mit Erdnüssen;530;8,4;30,7;53,4;3,3
Lammfleisch-Salami;371;21,22;31,75;0;0,11
Himbeerkompott;70;0,8;0,248;12,9;3,9
Mehrkorntoastbrot mit Ölsamen;282;9,58;5,6;46;4,6
Hallimasch gedünstet;53;4,466;0,958;4,2;7,761
Kokosschnitten (Rührmasse);473;6,81;32,68;36,1;3,87
Rinderfilet gebraten im Ofen (mit Fett und Salz);158;25,401;6,245;0;0
Lachs gesalzen;207;22,127;13,145;0;0
Roggenvollkornbrot mit Nüssen;214;5,98;3,91;33;11,4
Schaf Bug/Schulter, mager, geschmort ohne Fett;193;29,2;8,45;0;0
Hefeteig, gesalzen, mit Milch 3,5 % Fett, roh;348;8,5;12,81;48;3,53
Alaska-Pollack/Alaska-Seelachs, gebraten ohne Fett (Pfanne);67;14,6;0,92;0;0
Bratwurst-Grundbrät;267;12,47;24,1;0,09;0,05
Hirse gedünstet (mit Fett und Salz);162;4,37;4,78;24,8;1,26
Weißer Thun tiefgefroren;121;27,2;1,37;0;0
Rind Hochrippe, gebraten ohne Fett (Ofen);204;29,445;9,612;0;0
Roggenvollkornknäckebrot mit Gerstenmalz;332;9,3;1,33;60,6;19,05
Kalbsgulasch;105;15,3;4,2;1,3;0,3
Stollen (Vollkornhefeteig);378;6,9;18,2;43;6,2
Gemüsesaft aus Karotte/Möhre;22;0,63;0,32;3,717;0,3
Kalbsrücken gebraten im Ofen;151;26,76;4,83;0,01;0
Dorsch/Kabeljau, gegrillt;106;23,9;1,1;0;0
Mandel süß, geröstet mit Fett, gesalzen;557;21,216;48,643;3,75;9,7
Schwarz-Weiß-Gebäck (Mürbeteig);460;6,78;19,82;62,2;3
Fruchtgummi zuckerfrei;220;7,7;0;77;0,005
Weißwein-Schorle, süß, mit Zitronenlimonade;51;0,051;0;4,7;0
Schinkenwurst Krakauer Art (Rohwurst);293;24,13;21,75;0,18;0,1
Hirsebrot glutenfrei;229;7,4;4,7;37,2;4,3
Dinkelvollkornbrötchen;285;10,8;3,63;48;8,16
Birne gedünstet;60;0,309;0,299;13,56;2,9
Barsch Müllerinart (mehliert, gebraten);97;17,6;1,3;2,83;0,38
Marmelade (hergestellt aus Zitrusfrüchten);240;0,5;0,1;57,8;1,2
Grünkern gekocht (mit Fett und Salz);199;5,65;4,8;30,22;6,21
Butterkuchen/Zuckerkuchen (Hefeteig);429;8,96;21,09;49;3,5
Zuckermais gebraten ohne Fett (Pfanne);77;3,77;1,414;10,8;3,2
Heidelbeeren gezuckert;82;0,5;0,562;15,35;4,6
Feiner Honigkuchen;337;7,48;6,7;59,9;3,1
Rote-Bete-Gemüse gedünstet;59;1,34;3,4;4,85;1,5
Mettwurst luftgetrocknet, energiereduziert;218;26,45;12,47;0;0,17
Kalbsfilet gebraten im Ofen;151;28,7;3,98;0,02;0,01
Trockenfrüchte mit Vollmilchschokoladenüberzug;426;4,5;17,8;58,8;3,6
Russisch-Brot (Eiklarmasse);383;9,7;0,92;82,4;3,08
Roggenvollkornbrot mit Ölsamen;207;6,44;2,9;33;11,7
Schweinefilet geschmort, mit Sauce;120;13,8;6,7;0,83;0,3
Lammkeule gebraten im Ofen provenzalische Art, mit Sauce;180;23,55;9,44;0,02;0,36
Gulasch einfach (mit Rindfleisch);133;13,2;7,5;3;0,3
Tintenfisch gegrillt;107;23,549;1,46;0;0
Roggenbrötchen mit Sonnenblumenkernen;281;9,09;5,3;45;8,49
Waffelkekse;295;5,44;13,02;37,9;2,1
Schwein Vordereisbein/Vorderhaxe, Kochpökelware;155;19,74;8,2;0,439;0
Pute Brust, ohne Haut, gegrillt;139;31,711;1,303;0;0
Karpfen gesalzen;136;20,147;6,12;0;0
Frühlingszwiebel/Lauchzwiebel (ohne Laub) gebraten ohne Fett (Pfanne);51;1,4;0,238;9,5;2,2
Schellfisch gedünstet;71;16,4;0,59;0;0
Roggenvollkornbrot mit Quark;192;6,2;0,84;34;11,63
Amaranth gekocht;119;4,48;1,79;19,88;2,79
Hühnerleber gebraten;149;19,97;6,39;2,77;0,3
Bitterschokolade gefüllt mit Pfefferminzcreme;504;5,46;24,8;52,1;6,07
Ostpreußischer Honigkuchen;406;6,44;10,88;69,14;2,46
Roggenbrot mit Buttermilch;209;5,9;0,82;40;8,89
Romanesco gebacken;50;3,414;0,394;7,52;4,1
Polenta (Maisbrei mit Wasser, Rapsöl und Salz) gekocht;114;1,703;6,035;12,351;1,851
